"订单编号","PID","交易时间","单项数量","单项金额","商品编号","商品名称","一级分类","二级分类","三级分类","门店名称","品牌"
2246595,"c39969c4-1716-41a1-9a20-50c50c1da33d",2019-05-24 22:31:28,3,12,"11000023","泰山仙草蜜颗粒饮料330g","饮料","亚洲传统饮料","其他亚洲传统饮料","B","泰山企业"
2246595,"c39969c4-1716-41a1-9a20-50c50c1da33d",2019-05-24 22:31:28,1,3,"12001256","N可口可乐摩登罐330ml","饮料","碳酸饮料","可乐类汽水","B","可口可乐"
2246595,"c39969c4-1716-41a1-9a20-50c50c1da33d",2019-05-24 22:31:28,1,3,"12001257","N可口可乐雪碧摩登罐330ml","饮料","碳酸饮料","柠檬口味汽水","B","雪碧"
2246595,"c39969c4-1716-41a1-9a20-50c50c1da33d",2019-05-24 22:31:28,2,9,"12000402","乐事美墨西哥鸡汁番茄味薯片40g","休闲零食","膨化食品","膨化食品","B","乐事"
2246734,"001cbfd9-7cd2-41f9-8009-576e74c3f5ad",2019-05-24 22:35:33,1,5.5,"11000158","宝矿力水特西柚味500ml","饮料","功能性饮料","运动能量饮料","C","宝矿力"
2246734,"001cbfd9-7cd2-41f9-8009-576e74c3f5ad",2019-05-24 22:35:33,1,9.9,"33604739","九日牌牛奶味苏打水500ml","饮料","碳酸饮料","苏打水","C","九日"
2246734,"001cbfd9-7cd2-41f9-8009-576e74c3f5ad",2019-05-24 22:35:33,1,4.5,"11000127","N椰树椰子汁利乐包245ml","饮料","果蔬汁","常温果汁","C","椰树"
2246746,"aa0e2d1f-4de2-11e8-b82d-0a58ac130522",2019-05-24 22:36:00,1,5.5,"30000011","N舒肤佳纯白清香型香皂115g","个人清洁","沐浴洗发","身体清洁","A","舒肤佳"
2246746,"aa0e2d1f-4de2-11e8-b82d-0a58ac130522",2019-05-24 22:36:00,1,19.9,"31602765","采蜂世家纯净百花蜂蜜380g","营养品","营养品","营养品","A","其他品牌"
2246746,"aa0e2d1f-4de2-11e8-b82d-0a58ac130522",2019-05-24 22:36:00,1,19.9,"31602822","集适家215M女凉拖37码","家纺鞋服","鞋类及相关用品","鞋类及相关用品","A","集适家"
2247120,"2a78a22c-4d46-11e8-b7db-0a58ac130522",2019-05-24 22:45:19,1,4,"11000110","长富纯鲜奶221ml","奶制品","牛奶","低温牛奶","B","长富"
2247188,"f27e5be2-98f2-4fea-92b1-e3d7dbbbbbbe",2019-05-24 22:47:09,1,12,"99000323","N南京（红）","烟类","香烟","硬盒香烟","B","南京"
2247594,"c6aa14d7-4951-11e8-b551-0a58ac130522",2019-05-24 22:57:44,1,3.3,"11000428","维他柠檬茶250ml","饮料","茶饮料","即饮红茶","A","维他"
2247594,"c6aa14d7-4951-11e8-b551-0a58ac130522",2019-05-24 22:57:44,1,6,"99921641","王老吉无糖凉茶310ml","饮料","亚洲传统饮料","中草药饮料","A","王老吉"
2248092,"27062975-6be3-11e8-8e4a-0a58ac1303bc",2019-05-24 23:11:42,1,16.9,"30603424","贝览得修眉刀(不锈钢包边型)","个人清洁","美容用品","美容美发工具","B","贝览得"
2248603,"065fda80-daec-49f1-98eb-de04b27651b7",2019-05-24 23:29:15,1,1.5,"13000094","双汇玉米热狗肠40g","辅助佐餐","熟食肉制品","熟食肉制品","B","双汇"
2248603,"065fda80-daec-49f1-98eb-de04b27651b7",2019-05-24 23:29:15,1,0.75,"13000112","双汇泡面拍档45g","辅助佐餐","熟食肉制品","熟食肉制品","B","双汇"
2248603,"065fda80-daec-49f1-98eb-de04b27651b7",2019-05-24 23:29:15,1,4.8,"18000039","卫龙大面筋(冷静)106g","休闲零食","肉食小食","肉食小食","B","卫龙"
2248603,"065fda80-daec-49f1-98eb-de04b27651b7",2019-05-24 23:29:15,1,3,"99933980","康师傅香辣牛肉面100g","方便速食","即食类主食","即食面类","B","康师傅"
2248726,"2e2f53a7-0ec1-11e8-a65d-0a58ac13001a",2019-05-24 23:33:18,1,3.5,"11000217","N可口可乐芬达橙味饮料500ml","饮料","碳酸饮料","其他汽水","B","芬达"
2249469,"3577f772-61a4-11e8-aa96-0a58ac13039c",2019-05-25 00:00:31,1,3.5,"11000030","N可口可乐（塑料瓶）500ml","饮料","碳酸饮料","可乐类汽水","A","可口可乐"
2249469,"3577f772-61a4-11e8-aa96-0a58ac13039c",2019-05-25 00:00:31,1,4.5,"13000011","统一来一桶泡椒牛肉面105g","方便速食","即食类主食","即食面类","A","来一桶"
2249469,"3577f772-61a4-11e8-aa96-0a58ac13039c",2019-05-25 00:00:31,2,1.5,"13000112","双汇泡面拍档45g","辅助佐餐","熟食肉制品","熟食肉制品","A","双汇"
2249849,"6efc712b-cce1-4767-92e9-8a691938e183",2019-05-25 00:15:47,1,3,"12604072","康师傅茉莉果茶500ml","饮料","茶饮料","即饮茉莉花茶","B","康师傅"
2249896,"77f39f7a-43ad-11e8-afb1-0a58ac130519",2019-05-25 00:18:15,1,16,"10000064","N七匹狼（纯雅）","烟类","香烟","硬盒香烟","C","七匹狼"
2250458,"21b073ae-8c2b-11e8-b8a4-0a58ac1305b1",2019-05-25 00:46:01,1,8.5,"10000008","N七匹狼（蓝)","烟类","香烟","硬盒香烟","C","七匹狼"
2250541,"c27f2c78-7915-11e8-94df-0a58ac130661",2019-05-25 00:50:22,1,45,"10000018","N中华（硬）","烟类","香烟","硬盒香烟","A","中华"
2250541,"c27f2c78-7915-11e8-94df-0a58ac130661",2019-05-25 00:50:22,1,10,"99000392","怡宝水4.5L","饮料","包装水","包装水","A","怡宝"
2250688,"2886a188-76d9-11e8-924f-0a58ac130661",2019-05-25 00:58:33,1,4.5,"11000127","N椰树椰子汁利乐包245ml","饮料","果蔬汁","常温果汁","B","椰树"
2250937,"64056ab9-0df2-11e8-a64c-0a58ac13001a",2019-05-25 01:12:32,1,8.5,"10000008","N七匹狼（蓝)","烟类","香烟","硬盒香烟","B","七匹狼"
2250996,"7d6526e5-4a8f-11e8-b5d1-0a58ac130522",2019-05-25 01:15:28,1,9,"15000118","伊利畅轻燕麦+黄桃250g(D)","奶制品","酸奶/酸味奶","酸奶/酸味奶","B","畅轻"
2252098,"9fce260b-c027-4f5f-988e-39c0b6a1c098",2019-05-25 02:22:39,1,16,"10000033","N利群（蓝天）","烟类","香烟","硬盒香烟","A","利群"
2252562,"00feb773-1f9a-11e8-bc3e-0a58ac130020",2019-05-25 02:56:22,1,6.5,"93895530","W桃李手撕面包160g","休闲零食","糕点","面包","B","桃李"
2252562,"00feb773-1f9a-11e8-bc3e-0a58ac130020",2019-05-25 02:56:22,1,2,"11000053","T蒙牛酸酸乳(原味)250ml","奶制品","酸奶/酸味奶","酸奶/酸味奶","B","蒙牛酸酸乳"
