"PID","性别","年龄","年代","距离上次光顾时间","上午活跃","午间活跃","下午活跃","夜间活跃","平均每单购买数量","偏好品类top1","访问门店数","进店次数","进店时间.一周","平均每单购买金额","偏好品类top2","偏好品类top3","偏好品牌top1","偏好品牌top2","偏好品牌top3"
"9f811ae8-a8a3-4d6f-8b84-3e34c25da190","female",28,"90后",25.6910532407407,1,0,0,0,1,"其他亚洲传统饮料",1,1,"工作日活跃",1,,,"惠尔康",,
"c0edb606-782c-4c0b-9504-ecb04465c508","female",28,"90后",8.24675925925926,0,0,0,1,1,"硬盒香烟",1,1,"工作日活跃",26,,,"金桥",,
"ee2bb7d7-d97f-43dc-ae41-c9b7d13b908c","male",31,"80后",2.25173611111111,0,0,1,0,1,"含乳饮料",1,1,"工作日活跃",7,,,"阿华田",,
"4f9f6f90-d28b-4577-84dc-4a6a2807ee44","male",19,"00后",17.6237384259259,1,0,0,0,1,"运动能量饮料",1,1,"工作日活跃",4,,,"水动乐",,
"8c73f401-56bb-457b-ab8e-353c849d5f37","female",43,"70后",0.620439814814815,1,0,0,0,1,"酸奶/酸味奶",1,1,"工作日活跃",3,,,"畅轻",,
"a76a9fdc-72c2-4b18-b887-3b2093001878","female",33,"80后",0.479953703703704,0,1,0,1,1.33333333333333,"硬盒香烟",1,6,"工作日活跃",13.5,"即饮红茶","即饮奶茶","七匹狼","阿萨姆","黄鹤楼"
"690782e8-8445-11e8-b22a-0a58ac1303f0","male",40,"70后",16.4988078703704,0,1,0,0,2,"即饮绿茶",1,1,"工作日活跃",15.8,"自制面饭类",,"康师傅","其他品牌",
"45f5a7cb-c9c5-4e22-ae85-646f5c2db3fd","male",23,"90后",16.4364467592593,0,1,0,0,2,"可乐类汽水",1,1,"工作日活跃",11.5,"运动能量饮料",,"红牛","可口可乐",
"19c341f2-5f89-4072-ba0b-07c10ae92436","male",31,"80后",4.54125,1,0,0,0,2,"啤酒",1,1,"工作日活跃",4,,,"雪津",,
"c4a846bd-1d75-11e8-bbcd-0a58ac130020","male",22,"90后",9.04892361111111,0,0,0,1,2,"低温牛奶",1,2,"工作日活跃",9.75,"即食面类","即饮红茶","农心","其他品牌","维他"
"de113c1d-52d3-11e8-ba37-0a58ac13035b","male",23,"90后",5.22796296296296,0,0,0,1,4,"低温牛奶",1,1,"双休日活跃",41.4,"膨化食品","软盒香烟","盖瑞","丽丽","七匹狼"
"b9290e34-5366-4b33-acaa-40675ce73ed3","male",32,"80后",14.4835648148148,0,1,1,0,2,"啤酒",1,3,"工作日活跃",4,"包装水","肉食小食","雪津","卫龙","怡宝"
"109d448e-9da3-4040-b323-123cb033627d","female",18,"00后",21.0951273148148,0,0,0,1,2,"3C产品",1,1,"工作日活跃",57,"身体护理",,"其他品牌","芯品",
"a0894f0e-8e6f-47c8-bad8-c46284231156","female",19,"00后",7.8931712962963,0,0,0,1,4,"蛋糕",1,1,"工作日活跃",26.5,"常温牛奶","硬盒香烟","卡士达","七匹狼","伊利"
"03ed9ee7-4cf5-11e8-b76b-0a58ac130522","female",27,"90后",15.3249884259259,0,0,1,0,1,"冰淇淋",1,1,"工作日活跃",9,,,"梦龙",,
"f17c4610-701f-4182-8128-0732254c5d9e","female",27,"90后",2.6234837962963,1,0,0,0,1.4,"白酒",1,5,"双休日活跃",16.8,"软盒香烟","其他糖果","红星","玉溪","好心情"
"28dcd08e-a99e-4eed-965b-1d0ef77262b8","male",37,"80后",6.09689814814815,0,0,0,1,5,"包装水",1,1,"双休日活跃",15.5,"低温果汁",,"怡宝","味全每日C",
"230204f4-b815-4b8f-9ee7-c15a18f46324","male",74,"40后",29.5855671296296,1,0,0,0,2,"盐",1,1,"工作日活跃",2,,,"闽盐",,
"c95604c1-6726-4a6b-8057-5d11f908de63","male",20,"90后",5.51899305555556,1,1,0,0,1.66666666666667,"硬盒香烟",1,3,"双休日活跃",16.5,"运动能量饮料","口香糖","七匹狼","水动乐","炫迈"
"0f86250b-1a2b-11e8-a759-0a58ac13001a","female",28,"90后",7.45574074074074,0,1,0,0,1.5,"低温牛奶",1,2,"工作日活跃",5.75,"其他鲜食",,"长富","其他品牌",
"d0a3c121-cab1-45e5-a474-81af3b1c7339","female",23,"90后",1.64001157407407,1,0,1,0,1,"常温牛奶",1,2,"双休日活跃",11.75,"硬盒香烟",,"蒙牛","云烟",
"bd0f9215-067b-11e8-a64b-0a58ac130242","male",44,"70后",0.647858796296296,1,0,0,0,2.25,"包装水",1,4,"工作日活跃",9.425,"蛋糕","购物袋","农夫山泉","优思麦","恒大冰泉"
"73add8ef-e2de-4352-aa38-c20ca71d98ed","female",42,"70后",23.2166087962963,0,0,0,1,3,"坚果",1,1,"工作日活跃",10.5,,,"鹭珍",,
"a954fc33-7b90-11e8-985c-0a58ac130661","male",51,"60后",20.1528935185185,0,0,0,1,1,"低温牛奶",1,1,"双休日活跃",4,,,"长富",,
"026ddc83-097b-11e8-b275-0a58ac130242","male",22,"90后",30.0530902777778,0,0,0,1,5,"即食面类",1,1,"工作日活跃",39.8,"即饮绿茶","膨化食品","好友趣","黄鹤楼","康师傅"
"f942b5bc-4c75-11e8-b73d-0a58ac130522","female",35,"80后",13.6599537037037,1,0,0,0,4,"其他糖果",1,1,"双休日活跃",26.3,"低温果汁",,"阿尔卑斯","宝奴咪","味全每日C"
"e9ae635f-d355-4eb8-aee3-9f7d64427c56","male",32,"80后",6.51425925925926,1,0,1,0,2,"包装水",1,3,"双休日活跃",7.83333333333333,"即饮绿茶","即饮茉莉花茶","康师傅","百事可乐","纯悦"
"c2b75484-4322-11e8-b28b-0a58ac130517","male",39,"80后",30.0605439814815,0,0,0,1,4,"加工蛋类",1,1,"工作日活跃",15,"即食面类","啤酒","吉百年","其他品牌","青岛啤酒"
"6dec15b4-479f-11e8-b4a8-0a58ac130522","male",25,"90后",15.3000231481481,0,0,1,0,9,"即食面类",1,1,"工作日活跃",21.8,"膨化食品","熟食肉制品","双汇","心一从","见福"
"bcb8636e-2119-4b1a-b7b6-e44f0a9d3037","male",33,"80后",9.63269675925926,1,0,0,1,3,"其他厨房用品",1,2,"双休日活跃",27.1,"包装水","购物袋","妙洁","见福","景田"
"d19de0ab-290b-4214-805d-fa5054b3139d","male",33,"80后",11.6379861111111,1,0,0,0,1,"包装水",1,1,"工作日活跃",2.5,,,"康师傅",,
"9dc19650-7883-11e8-9468-0a58ac130661","male",43,"70后",12.0857291666667,0,0,0,1,1,"啤酒",1,1,"双休日活跃",6,,,"雪津",,
